group,trialNum,position,row,col,dist to center,quadrant,sprite image difference,reaction time,reaction time (no),correct position mentioned,late,manish continuous,psnr,psnr_bin,ssim,ssim_bin,psnr dog to alpha,psnr alpha to cat,ssim dog to alpha,,ssim alpha to cat,,manish dog to alpha,,manish alpha to cat,alpha_to_cat_similarity_group
1,69,"4,6",4,6,3.201562119,Top Left,h,0.68,0.68,correct,FALSE,0.754106,9.296781572,medium,0.211521854,low,12.15512509,12.68434359,0.516418304,medium,0.57710279,medium,0.415739,low,0.422205,low
1,70,"10,10",10,10,4.272001873,Bottom Right,m,1.11,1.11,correct,FALSE,0.499534,9.648563,medium,0.261810297,low,11.97052117,14.50783338,0.54347749,medium,0.736437882,high,0.248511,low,0.310609,low
1,71,"8,4",8,4,4.924428901,Bottom Left,l,did not see,did not see,incorrect,FALSE,0.137801,10.82672146,high,0.271906525,low,12.32915256,18.23452335,0.555508433,medium,0.801467617,high,0.28184,low,0.487307,low
1,72,"9,10",9,10,3.354101966,Bottom Right,l,3.54,3.54,correct,FALSE,0.146642,4.842865959,low,0.178752532,low,10.02491233,10.40007359,0.543976362,medium,0.577367835,medium,0.272733,low,0.263515,low
1,73,"11,8",11,8,5.024937811,Bottom Left,m,1.38,1.38,correct,FALSE,0.502892,8.38158913,low,0.186747736,low,11.24587368,13.01680924,0.501628904,medium,0.585746516,medium,0.26396,low,0.427673,low
1,74,"4,5",4,5,4.031128874,Top Left,l,0.76,0.76,correct,FALSE,0.136479,8.881531158,medium,0.267210825,low,12.51184051,13.03479379,0.572692737,medium,0.696187913,medium,0.289533,low,0.554078,medium
1,75,"5,12",5,12,3.640054945,Top Right,l,1.32,1.32,correct,FALSE,0.14642,8.459853003,low,0.061378,low,11.75766421,13.21337404,0.433901126,medium,0.52457487,medium,0.292993,low,0.374829,low
1,76,"7,3",7,3,5.590169944,Bottom Left,h,did not see,did not see,incorrect,FALSE,0.774946,9.724362425,medium,0.197498191,low,14.74645657,13.75065309,0.475417485,medium,0.734164,high,0.791478,high,0.899087,high
1,77,"10,12",10,12,5.315072906,Bottom Right,h,did not see,did not see,incorrect,FALSE,0.737677,10.73877749,high,0.391478842,low,13.88322429,13.41302586,0.642355492,medium,0.698780103,medium,0.306243,low,0.359737,low
1,78,"5,2",5,2,6.576473219,Top Left,m,3.83,3.83,correct,FALSE,0.502767,12.18970349,high,0.370590399,low,12.53660953,16.26785348,0.578909406,medium,0.817709103,high,0.508171,medium,0.842493,high
1,79,"2,4",2,4,6.020797289,Top Left,l,0.79,0.79,correct,FALSE,0.134134,11.80467834,high,0.122054988,low,12.51678937,14.30177144,0.442517027,medium,0.571714239,medium,0.682246,medium,0.26678,low
1,80,"5,4",5,4,4.609772229,Top Left,l,2.52,2.52,correct,FALSE,0.136391,8.757408692,medium,0.090708,low,16.68725905,10.80687347,0.520577217,medium,0.421863859,medium,0.539504,medium,0.356104,low
1,81,"11,6",11,6,5.590169944,Bottom Left,l,5.96,5.96,correct,FALSE,0.138655,10.11144153,high,0.280991005,low,12.95081191,13.53206151,0.560805841,medium,0.59694758,medium,0.295198,low,0.276641,low
1,82,"8,2",8,2,6.800735254,Bottom Left,m,2.98,2.98,correct,FALSE,0.503689,10.48672742,high,0.323602818,low,13.37275327,14.35221457,0.604297192,medium,0.728889203,high,0.427817,low,0.494826,low
1,83,"2,5",2,5,5.315072906,Top Left,m,1.2,1.2,correct,FALSE,0.499479,9.882301288,medium,0.348527167,low,11.37682503,13.61966925,0.567416182,medium,0.6647829,medium,0.436669,low,0.593175,medium
1,84,"10,5",10,5,5.315072906,Bottom Left,l,did not see,did not see,incorrect,FALSE,0.137856,7.803767458,low,0.276825733,low,12.60270677,12.84937797,0.566765303,medium,0.708577117,high,0.202157,low,0.649259,medium
1,85,"6,1",6,1,7.5,Bottom Left,h,2.17,2.17,correct,FALSE,0.783743,8.069105067,low,0.315587139,low,14.13795403,11.04942283,0.698799689,medium,0.520001095,medium,0.464173,low,0.492382,low
1,86,"9,12",9,12,4.609772229,Bottom Right,m,1.12,1.12,correct,FALSE,0.499084,10.24915996,high,0.436772256,medium,11.75493408,16.89304023,0.653406285,medium,0.859242589,high,0.256873,low,0.324843,low
1,87,"1,9",1,9,5.024937811,Top Right,h,did not see,did not see,incorrect,FALSE,0.746658,4.614111186,low,0.149265881,low,10.49183059,9.696995934,0.512781742,medium,0.479681,medium,0.207347,low,0.183588,low
1,88,"3,13",3,13,5.408326913,Top Right,l,1.04,1.04,correct,FALSE,0.148752,7.830256908,low,0.087852,low,11.31387763,14.11025248,0.462885969,medium,0.559545804,medium,0.344234,low,0.327035,low
1,89,"6,10",6,10,1.5,Bottom Right,l,1.3,1.3,correct,FALSE,0.146857,11.94292328,high,0.210823548,low,11.88992384,18.3679121,0.506691517,medium,0.761694893,high,0.266352,low,0.499291,low
1,90,"4,3",4,3,5.852349955,Top Left,h,did not see,did not see,incorrect,FALSE,0.772261,9.899753,medium,0.08748,low,11.70435798,13.81879873,0.328804827,low,0.628036947,medium,0.232922,low,0.327436,low
1,91,"3,7",3,7,3.354101966,Top Left,l,2.92,2.92,correct,FALSE,0.138609,7.915379776,low,0.135603743,low,15.00597891,11.34854427,0.536714869,medium,0.567697923,medium,0.350456,low,0.343107,low
1,92,"8,14",8,14,5.852349955,Bottom Right,l,7.57 late,7.57,correct,TRUE,0.149415,4.954621676,low,0.185790744,low,12.97410347,9.090461796,0.702571619,high,0.438975857,medium,0.451169,low,0.355001,low
1,93,"3,11",3,11,3.905124838,Top Right,h,0.87,0.87,correct,FALSE,0.739741,12.97809717,high,0.57621325,medium,14.39417639,14.49449471,0.702438435,high,0.722998537,high,0.300628,low,0.368617,low
1,94,"9,9",9,9,3.041381265,Bottom Right,m,1.22,1.22,correct,FALSE,0.501961,7.549186365,low,0.261199008,low,8.747970419,18.6791846,0.440575101,medium,0.832337795,high,0.287744,low,0.277304,low
1,95,"5,16",5,16,7.566372975,Top Right,h,did not see,did not see,incorrect,FALSE,0.731307,10.95698507,high,0.480901337,medium,15.20775849,13.56801681,0.741333493,high,0.771739,high,0.474986,low,0.409619,low
1,96,"4,4",4,4,4.924428901,Top Left,h,0.76,0.76,correct,FALSE,0.771979,7.208511187,low,0.285060423,low,9.166194,16.83160892,0.500389391,medium,0.766199896,high,0.752833,high,0.835335,high
